Arrondissement,Chef d'arrondissement (FICTIF),Quartier / Village
AVLEKETE,ADANDE Guillaume,ADOUNKO
AVLEKETE,ADANDE Guillaume,ADOUNKO AYIGNON
AVLEKETE,ADANDE Guillaume,AGBANZIN-KPOTA
AVLEKETE,ADANDE Guillaume,AGOUIN
AVLEKETE,ADANDE Guillaume,AHOUANDJI
AVLEKETE,ADANDE Guillaume,AVLEKETE
AVLEKETE,ADANDE Guillaume,HIYO
AVLEKETE,ADANDE Guillaume,HIYO HOUEGBO
GAKPE,HOUNKPATIN Sylvie,AMOULEHOUE
GAKPE,HOUNKPATIN Sylvie,FONKOUNME
GAKPE,HOUNKPATIN Sylvie,GAKPE
GAKPE,HOUNKPATIN Sylvie,TOHONOU
HOUAKPE DAHO,TOSSOU Bertin,AZIZAKOUE
HOUAKPE DAHO,TOSSOU Bertin,DJEGBAME
HOUAKPE DAHO,TOSSOU Bertin,GBEHONOU
HOUAKPE DAHO,TOSSOU Bertin,GBEZOUNME
HOUAKPE DAHO,TOSSOU Bertin,HOUAKPE-DAHO
HOUAKPE DAHO,TOSSOU Bertin,SEYIGBE
HOUAKPE DAHO,TOSSOU Bertin,TOLIGBE
DJEGBADJI,KOUDOGBO Angèle,AGBANLINDJEHOUE
DJEGBADJI,KOUDOGBO Angèle,AÏDO
DJEGBADJI,KOUDOGBO Angèle,DEGOUE
DJEGBADJI,KOUDOGBO Angèle,DJEGBADJI
DJEGBADJI,KOUDOGBO Angèle,DJONDJI
DJEGBADJI,KOUDOGBO Angèle,KOUVENANFIDE
DJEGBADJI,KOUDOGBO Angèle,MEKO
OUIDAH I,DAGBA Prudence,ABATTA
OUIDAH I,DAGBA Prudence,AGBESSIKPE DJIKA
OUIDAH I,DAGBA Prudence,DANGBEHOUE
OUIDAH I,DAGBA Prudence,OKE-AGBEDE
OUIDAH I,DAGBA Prudence,SOGBADJI
OUIDAH I,DAGBA Prudence,ZOMAÏ
OUIDAH I,DAGBA Prudence,ZOMAÏ-KPOTA
OUIDAH I,DAGBA Prudence,ZOUNGBODJI CENTRE
OUIDAH II,AGBANDJI Serge,AHOUANDJIGO
OUIDAH II,AGBANDJI Serge,GANVE
OUIDAH II,AGBANDJI Serge,GBENA-NORD
OUIDAH II,AGBANDJI Serge,GBENA-SUD
OUIDAH II,AGBANDJI Serge,GBETO-NORD
OUIDAH II,AGBANDJI Serge,GBETO-SUD
OUIDAH II,AGBANDJI Serge,HOUEDJEDO
OUIDAH II,AGBANDJI Serge,LEBOU ALAFIA
OUIDAH II,AGBANDJI Serge,LEBOU CAMPTO
OUIDAH III,GNONLONFOUN Herbert,AGBADJIHONTO
OUIDAH III,GNONLONFOUN Herbert,AGBANOU
OUIDAH III,GNONLONFOUN Herbert,FONSRAME
OUIDAH III,GNONLONFOUN Herbert,GOMEY
OUIDAH III,GNONLONFOUN Herbert,HEHOUNLI
OUIDAH III,GNONLONFOUN Herbert,KPASSE
OUIDAH III,GNONLONFOUN Herbert,YAMADJAKO
OUIDAH III,GNONLONFOUN Herbert,ZONGO MALECOME
OUIDAH IV,AZANMASSO Delphine,DOCOMEY
OUIDAH IV,AZANMASSO Delphine,TOVE KPASSEZOUNTO
OUIDAH IV,AZANMASSO Delphine,TOVE ZOBETO
OUIDAH IV,AZANMASSO Delphine,VASSEHO
OUIDAH IV,AZANMASSO Delphine,WAGNILO
OUIDAH IV,AZANMASSO Delphine,WOMEY
PAHOU,HOUNGNIBO Cyriaque,HOUNHANMEDE
PAHOU,HOUNGNIBO Cyriaque,PAHOU CENTRE
PAHOU,HOUNGNIBO Cyriaque,SATCHACODJI
PAHOU,HOUNGNIBO Cyriaque,AHOUICODJI
PAHOU,HOUNGNIBO Cyriaque,AHOZON
PAHOU,HOUNGNIBO Cyriaque,HOUNDJAVA
PAHOU,HOUNGNIBO Cyriaque,ADJRA-ADOVIE
PAHOU,HOUNGNIBO Cyriaque,ADJRA-HOUNVE
PAHOU,HOUNGNIBO Cyriaque,KPOVIE
PAHOU,HOUNGNIBO Cyriaque,ACADJAME
PAHOU,HOUNGNIBO Cyriaque,SELLOLI-BAZOUNKPA
PAHOU,HOUNGNIBO Cyriaque,ZOUNGOUDO
SAVI,HOUNTONDJI Marcelin,ADJOHOUNDJA-MONSO
SAVI,HOUNTONDJI Marcelin,ASSOGBENOU-DAHO
SAVI,HOUNTONDJI Marcelin,BOSSOUVI
SAVI,HOUNTONDJI Marcelin,DEKOUENOU
SAVI,HOUNTONDJI Marcelin,HOUEYIHO
SAVI,HOUNTONDJI Marcelin,MINANTINKPON
SAVI,HOUNTONDJI Marcelin,OUESSE
SAVI,HOUNTONDJI Marcelin,SAVI-HOUETON
